Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
EURUSD;600535019;Buy;0.02;14.04.2022 17:57:43;1.07946;14.04.2022 18:20:37;1.08232;129.04;129.04;
EURUSD;600534647;Sell Stop;0.02;14.04.2022 17:57:09;1.07907;14.04.2022 17:57:36;1.07939;-14.51;-14.51;[S/L]
EURUSD;600530443;Buy Stop;0.02;14.04.2022 17:52:00;1.0794;14.04.2022 17:56:17;1.07898;-19;-19.00;[S/L]
EURUSD;600528317;Buy Stop;0.02;14.04.2022 17:50:02;1.07924;14.04.2022 17:51:40;1.07888;-16.29;-16.29;[S/L]
GM.US;600445658;Sell;2;14.04.2022 16:43:43;40.45;14.04.2022 16:59:52;40.4;2.26;2.26;
MARA.US;600460505;Buy Stop;3;14.04.2022 16:53:12;21.02;14.04.2022 17:21:50;21.07;3.39;3.39;[S/L]
EURUSD;600436167;Sell Stop;0.02;14.04.2022 16:38:20;1.07834;14.04.2022 16:42:27;1.07829;2.27;2.27;[S/L]
EURUSD;600425258;Sell Stop;0.02;14.04.2022 16:31:20;1.07888;14.04.2022 16:36:31;1.07883;2.27;2.27;[S/L]
EURUSD;600419644;Sell Stop;0.02;14.04.2022 16:27:08;1.07895;14.04.2022 16:28:25;1.07946;-23.11;-23.11;[S/L]
EURUSD;600400612;Buy Stop;0.02;14.04.2022 16:15:15;1.07858;14.04.2022 16:18:12;1.07861;1.36;1.36;[S/L]
EURUSD;600400387;Sell;0.02;14.04.2022 16:15:03;1.07817;14.04.2022 16:15:13;1.07858;-18.59;-18.59;
EURUSD;600392488;Buy Stop;0.02;14.04.2022 16:10:21;1.07841;14.04.2022 16:14:53;1.07809;-14.49;-14.49;[S/L]
EURUSD;599915644;Sell Stop;0.02;14.04.2022 09:47:23;1.09084;14.04.2022 10:07:08;1.0908;1.79;1.79;[S/L]
EURUSD;599913758;Buy Stop;0.02;14.04.2022 09:45:29;1.09119;14.04.2022 09:46:26;1.09098;-9.4;-9.40;[S/L]
EURUSD;599900749;Sell Stop;0.02;14.04.2022 09:34:47;1.09073;14.04.2022 09:37:14;1.09096;-10.31;-10.31;[S/L]
